model,acc,auc,brier,logloss,ece,test_season
ML_logistic,0.557242511284366,0.5787306907607112,0.24581774061406167,0.6847358024227322,0.026525279946211504,2023
ML_random_forest,0.553959786622897,0.582702510875784,0.24471243471440976,0.6823823491700164,0.026705643517806625,2023
ML_extra_trees,0.5576528518670496,0.585495671276056,0.24425175837604687,0.6814742877310078,0.017101344977135106,2023
ML_hist_gbm,0.5535494460402134,0.5702105395252437,0.2465595797151909,0.6862097753351066,0.027074534658053123,2023
ML_xgboost,0.5453426343865408,0.5592838174811361,0.25090487645035486,0.695776564710738,0.050654733179776826,2023
ML_lightgbm,0.5367254821501847,0.5486279780217408,0.25543830229490094,0.7059654067131634,0.07036064744892048,2023
ML_neural_net,0.5465736561345917,0.5609327266642918,0.2509100778176223,0.6958067452525222,0.05071016363315684,2023
AGG_mean_prob_all,0.553959786622897,0.5843676122931442,0.2445177092733493,0.6820264188401575,0.024957079322367903,2023
AGG_logit_mean_all,0.5547804677882643,0.5843102647970033,0.24450393008829185,0.6819950385191976,0.024578812695245762,2023
AGG_median_all,0.5510874025441116,0.5841584626013364,0.24455348230390447,0.6820940770789246,0.026372968960230128,2023
AGG_trimmed_mean_all,0.5510874025441116,0.5849633515765839,0.24446363292133302,0.6819159489680205,0.02461155803995042,2023
AGG_rank_mean_all,0.5646286417726714,0.5843841418655613,0.2673134768054153,0.7445412109186351,0.12768924928639314,2023
AGG_logit_mean_top3,0.5642183011899877,0.5885985081554886,0.24427304270711525,0.6816021460813344,0.02493912448746089,2023
AGG_logit_mean_top5,0.5638079606073041,0.5867046914299902,0.24425699880463525,0.6815160768456455,0.022444710008960228,2023
AGG_logit_mean_top10,0.5588838736151005,0.5877167060677699,0.2439882950872834,0.6809470098077448,0.015869205400955117,2023
AGG_inv_logloss_weighted,0.553959786622897,0.5844418266999147,0.24450834626983525,0.6820077144578213,0.025441317452497277,2023
AGG_bayesian_model_avg,0.5551908083709479,0.5866183328475663,0.24417449678341333,0.681331502825364,0.017712804205950228,2023
AGG_diverse_families,0.553959786622897,0.5857000982328875,0.24425519128204762,0.6815034278742846,0.016395864097776436,2023
AGG_logistic_stack_top10,0.5666803446860894,0.589080901799497,0.24471234531586242,0.6826626573198361,0.024869601505142728,2023
AGG_ridge_stack_top10,0.5580631924497332,0.5882854582942021,0.2440624989823246,0.6811228318996965,0.02075609579921104,2023
AGG_nnls_weights_top10,0.5580631924497332,0.5883475285253192,0.24386117439555677,0.6806751272313721,0.017430549416711273,2023
