auc,logloss,brier,cal,base,top5,top10,p60,n60,p70,n70,market,model,top3,top1
0.5405181425071938,0.6276512569345182,0.21799063600785032,0.319347179850604,0.3241811175337187,0.37532133676092544,0.3626302083333333,,0,,0,r6,poisson_napkin,0.3880597014925373,0.3630573248407643
0.5570974530273167,0.6255313160929534,0.2170567531689715,0.3155607732031375,0.3241811175337187,0.37017994858611825,0.35546875,,9,,0,r6,logistic,0.42430703624733473,0.4713375796178344
0.5569121146683131,0.625415540879999,0.21700754254503316,0.3154206282260138,0.3241811175337187,0.37660668380462725,0.3483072916666667,,8,,0,r6,logistic L1,0.43283582089552236,0.47770700636942676
0.5570974530273167,0.6255349230884952,0.21705823819427988,0.3155647504467563,0.3241811175337187,0.37017994858611825,0.35546875,,9,,0,r6,logistic + platt,0.42430703624733473,0.4713375796178344
0.5494687937861873,0.6287657840172669,0.21859947501971153,0.3223873324689914,0.3241811175337187,0.40359897172236503,0.3678385416666667,0.43333333333333335,60,,29,r6,gaussian NB,0.42643923240938164,0.43312101910828027
0.5544389066519526,0.6258735564360487,0.21727722668947852,0.31584400798377216,0.3241811175337187,0.390745501285347,0.3522135416666667,,0,,0,r6,random forest,0.42857142857142855,0.45222929936305734
0.5546454265376994,0.6249446685284982,0.21686205871527214,0.31330245717619104,0.3241811175337187,0.4023136246786632,0.3606770833333333,,0,,0,r6,extra trees,0.44136460554371004,0.4267515923566879
0.5557248900943531,0.6313844306425596,0.21956403144168726,0.3230653095115748,0.3241811175337187,0.38688946015424164,0.3606770833333333,,27,,1,r6,hist-GBM,0.3880597014925373,0.3630573248407643
0.564907081937559,0.6248767555962228,0.21688257117881848,0.3250836900177669,0.3241811175337187,0.3856041131105398,0.3684895833333333,,15,,1,r6,gradient boosting,0.4136460554371002,0.43312101910828027
0.5471786735916138,0.627262078161723,0.21779062500000002,0.30673771676300576,0.3241811175337187,0.38688946015424164,0.357421875,,0,,0,r6,kNN (k=200),0.43923240938166314,0.45222929936305734
0.5482629029917847,0.6361403108649323,0.22118832107861644,0.3104728928986487,0.3241811175337187,0.3791773778920309,0.3541666666666667,0.48717948717948717,39,,5,r6,MLP (neural net),0.39019189765458423,0.4394904458598726
0.557490899886573,0.6242858826354808,0.2165517660128194,0.3144223097786717,0.3241811175337187,0.38688946015424164,0.3567708333333333,,0,,0,r6,STACK,0.43070362473347545,0.46496815286624205
