league,market,model,auc_discover,auc_confirm,logloss_confirm
ligue1,sot2,hist-GBM,0.8324887071816296,0.8223196197018343,0.18527204518018692
ligue1,sot2,gradient boosting,0.8367282868632648,0.818614450334752,0.19137558490457968
ligue1,sot2,"MLP (32,16)",0.7734938629142282,0.7775867990741432,0.2017532877691365
ligue1,sot2,own-rate baseline,,0.7924535204957813,0.19169516523351343
ligue1,goal1,logistic,0.7706677120449229,0.7826447407503855,0.25664842951014577
ligue1,goal1,logistic L1,0.7706564594279292,0.7825203003929195,0.25665225797350666
ligue1,goal1,gaussian NB,0.7670014877784415,0.7672392279408274,2.861296621318092
ligue1,goal1,kNN (k=150),0.7572708632642808,0.7744449010648297,0.258735406689378
ligue1,goal1,random forest,0.7754041514249462,0.7823168556668172,0.2563484255681649
ligue1,goal1,extra trees,0.7771951422756562,0.7841651510034572,0.2559331552166684
ligue1,goal1,hist-GBM,0.7755445050125847,0.780059297356168,0.2571078689492023
ligue1,goal1,gradient boosting,0.7702224733617102,0.7729458525079987,0.2604318365622905
ligue1,goal1,"MLP (32,16)",0.752771793277869,0.755456048479522,0.2675104894166408
ligue1,goal1,own-rate baseline,,0.741723699004884,0.26916729060980693
ligue1,asst1,logistic,0.7015359785289424,0.6835395481853206,0.23928096374493896
ligue1,asst1,logistic L1,0.7025928951235973,0.6833824092490877,0.2392566183706867
ligue1,asst1,gaussian NB,0.6934947788872139,0.6732605016247573,1.0881670039598716
ligue1,asst1,kNN (k=150),0.7063888853846687,0.6773232419922676,0.24410526659074402
ligue1,asst1,random forest,0.7231962640107481,0.6892427173938825,0.23850503364378253
ligue1,asst1,extra trees,0.717463053255035,0.6912245316327879,0.2377035133432164
ligue1,asst1,hist-GBM,0.7158569815628962,0.6903405721720921,0.23886202132907305
ligue1,asst1,gradient boosting,0.7129452374494604,0.6861067155505708,0.24069249307503537
ligue1,asst1,"MLP (32,16)",0.6147978573095579,0.6186233782075826,0.277642666721292
ligue1,asst1,own-rate baseline,,0.6611483086598379,0.2456823140267214
ligue1,ga1,logistic,0.7501134149440019,0.7455942816687114,0.366304616312878
ligue1,ga1,logistic L1,0.7502967624241462,0.7455430523857894,0.3662952156295534
ligue1,ga1,gaussian NB,0.7431055336072926,0.7272692593520925,1.5226294249280958
ligue1,ga1,kNN (k=150),0.7403315764036001,0.7433097414790092,0.3692107904893788
ligue1,ga1,random forest,0.7562616671115098,0.7481467312199606,0.3654627352874573
ligue1,ga1,extra trees,0.7556685430227367,0.7460230245944531,0.3660772251254679
ligue1,ga1,hist-GBM,0.7535952136489074,0.7453205458007379,0.3662945053288076
ligue1,ga1,gradient boosting,0.755483993264034,0.748160692848568,0.36571506630242107
ligue1,ga1,"MLP (32,16)",0.7543861125605247,0.7447902237818205,0.367781312432818
ligue1,ga1,own-rate baseline,,0.7188364356731703,0.37987745480638896
ligue1,card1,logistic,0.6089007121818447,0.607542102253655,0.41359662570278044
ligue1,card1,logistic L1,0.6094044114607194,0.6080544434720446,0.41351503155575214
ligue1,card1,gaussian NB,0.5975934227167531,0.5992916419437252,0.6230789837524088
ligue1,card1,kNN (k=150),0.5944346502917996,0.6031806306579987,0.41410630144491584
ligue1,card1,random forest,0.606208620935497,0.6045182549028987,0.41405584781511096
ligue1,card1,extra trees,0.6061426000501168,0.6107264602047899,0.41278726437084556
ligue1,card1,hist-GBM,0.5963914418370765,0.6081543047650319,0.4136375770790048
ligue1,card1,gradient boosting,0.5833853274171871,0.6014769560640474,0.4212186128093412
ligue1,card1,"MLP (32,16)",0.5717706084299179,0.5635988243298736,0.4317937801620404
ligue1,card1,own-rate baseline,,0.5857636146383944,0.4240268441001303
ligue1,foul2,logistic,0.676696085025625,0.6579864516007188,0.5242115194299005
ligue1,foul2,logistic L1,0.6766089698441061,0.6580348283641826,0.524174333111143
ligue1,foul2,gaussian NB,0.6574454416641566,0.6397462326413859,6.100376628154276
ligue1,foul2,kNN (k=150),0.6457107096565744,0.6332148611092951,0.5308658387120802
ligue1,foul2,random forest,0.6671327404367686,0.6539681294463403,0.525857167330963
ligue1,foul2,extra trees,0.6669181985425947,0.6536816460302726,0.5265198558558956
ligue1,foul2,hist-GBM,0.6672046821767925,0.6473206827370498,0.5289753347692703
ligue1,foul2,gradient boosting,0.6718485856616262,0.6532239553597241,0.5279717578147337
ligue1,foul2,"MLP (32,16)",0.6572004019074752,0.6467402342132674,0.5325166491171555
ligue1,foul2,own-rate baseline,,0.6441733602383681,0.5499696871775055
