league,model,rps,logloss,acc,brier,test_season
bundesliga,head_to_head,0.46571659817809324,1.0755679936596094,0.4117647058823529,0.6514161801019065,2024
bundesliga,lambda_gap,0.4397087826604807,1.043805157764751,0.46078431372549017,0.6284075471870196,2024
bundesliga,shots_gap,0.43374952688975765,1.033948117889164,0.46078431372549017,0.6202304147484717,2024
bundesliga,sot_gap,0.4329997380666262,1.032381996369901,0.47058823529411764,0.6195413754096932,2024
bundesliga,poisson,0.4420744241416365,1.0517390854566833,0.46405228758169936,0.6313122108545605,2024
bundesliga,dixon_coles,0.4421251911794936,1.0520050906289964,0.46405228758169936,0.6313951039659234,2024
bundesliga,dixon_coles_decay,0.45124939110779366,1.062848006314447,0.4542483660130719,0.6402503313470095,2024
bundesliga,bivariate_poisson,0.44239484728862055,1.052657085289661,0.46405228758169936,0.6316412047085964,2024
bundesliga,negative_binomial,0.44256511441959306,1.0526709582014058,0.46405228758169936,0.631827008758012,2024
bundesliga,zero_infl_poisson,0.44219641807667975,1.0516829160895307,0.46405228758169936,0.63141076865736,2024
bundesliga,skellam,0.44207422524987366,1.0517374267133568,0.46405228758169936,0.6313177566573427,2024
bundesliga,poisson_shots,0.43466707743099403,1.0361414415090877,0.46078431372549017,0.6219564088341551,2024
bundesliga,poisson_sot,0.4331653130395551,1.0364144662416146,0.47058823529411764,0.6204248825222145,2024
bundesliga,ML_multinomial_logistic,0.42735011409722523,1.0437383497846642,0.46078431372549017,0.6223710455542015,2024
bundesliga,ML_logistic_L1,0.42491327067625645,1.0266526534391311,0.47058823529411764,0.6143654899515505,2024
bundesliga,ML_random_forest,0.4283819552134248,1.0350895307158599,0.47058823529411764,0.6191678829851274,2024
bundesliga,ML_extra_trees,0.4260594856684415,1.0261535450737802,0.4803921568627451,0.613965502927015,2024
bundesliga,ML_hist_gbm,0.49795875840917886,1.249073782527006,0.45751633986928103,0.7091201039156342,2024
bundesliga,ML_kNN,0.4277768700072622,1.0351173314945639,0.477124183006536,0.6178140885984024,2024
bundesliga,ML_naive_bayes,0.6042236023330567,3.3102973756428526,0.4738562091503268,0.875386526266324,2024
bundesliga,ML_svm_rbf,0.44876029772928133,1.0552072261742957,0.45751633986928103,0.6365049948339501,2024
bundesliga,ML_neural_net,0.4314186659170297,1.0558838251293317,0.47058823529411764,0.6253597553233443,2024
bundesliga,BASE_rates,0.4787344373721407,1.0970607160703156,0.38562091503267976,0.6670535074354118,2024
bundesliga,BASE_always_home,0.9457941176470589,2.837110831468066,0.38562091503267976,1.1924954248366013,2024
bundesliga,ENS_mean_prob,0.42738308826022897,1.0273060452650713,0.4803921568627451,0.6151233935937785,2024
bundesliga,ENS_logit_mean,0.4274327337144602,1.0281787011370769,0.4803921568627451,0.615683134917854,2024
bundesliga,ENS_diverse5_mean,0.42915414994062806,1.02957866300596,0.477124183006536,0.6167725034947968,2024
bundesliga,elo,0.39196846688199793,0.9708050873346835,0.545751633986928,0.575572795540777,2025
bundesliga,elo_mov,0.39361213136236073,0.973858865023315,0.5490196078431373,0.5775159504214664,2025
bundesliga,elo_gd,0.39277204224888396,0.9725715321120003,0.5522875816993464,0.5765421286046781,2025
bundesliga,glicko,0.4111980126314252,0.998774979100699,0.5098039215686274,0.5956985478789957,2025
bundesliga,pi_rating,0.3946614844388839,0.9758007354117555,0.5392156862745098,0.578392839404515,2025
bundesliga,massey,0.39807895022593426,0.9783734279300537,0.5163398692810458,0.5812335394582687,2025
