league,market,model,auc_discover,auc_confirm,logloss_confirm
laliga,sot2,kNN (k=150),0.838132487801884,0.8637763338151496,0.17873607481597645
laliga,sot2,random forest,0.8423150465450242,0.8675231166289625,0.1741521559656779
laliga,sot2,extra trees,0.8406144025533613,0.8712825318865173,0.17407231137920645
laliga,sot2,hist-GBM,0.842896087433461,0.8688825161925636,0.17360505629893297
laliga,sot2,gradient boosting,0.8323686744670237,0.8621051358166043,0.17755232883654454
laliga,sot2,"MLP (32,16)",0.8373684330683937,0.8535920576705238,0.17910204293105483
laliga,sot2,own-rate baseline,,0.8380138766651418,0.1862459594289673
laliga,goal1,logistic,0.774317244395382,0.7903555950420387,0.2474951633367101
laliga,goal1,logistic L1,0.774938632672459,0.7905813903094392,0.24751142556049785
laliga,goal1,gaussian NB,0.7708414157160315,0.7812751365172922,3.0249310793060413
laliga,goal1,kNN (k=150),0.7682738631614402,0.775767097165641,0.25542309724989115
laliga,goal1,random forest,0.7775454215212396,0.7853798647828725,0.24933544242590805
laliga,goal1,extra trees,0.7782192718096484,0.7889258472739881,0.24790432115420624
laliga,goal1,hist-GBM,0.7738154386441347,0.786462685273468,0.24879270686228955
laliga,goal1,gradient boosting,0.7704892809971132,0.7824463682066395,0.25309570380182284
laliga,goal1,"MLP (32,16)",0.7586427857239846,0.7598545982491115,0.26221680412622905
laliga,goal1,own-rate baseline,,0.7664390656149779,0.25768324776139856
laliga,asst1,logistic,0.7161108298171589,0.6785658263116674,0.2297174789282005
laliga,asst1,logistic L1,0.7163158931082981,0.6788063125822024,0.22967114952210693
laliga,asst1,gaussian NB,0.6903876230661041,0.6525343801361146,1.4438470710225209
laliga,asst1,kNN (k=150),0.7023576652601969,0.6707250478657475,0.23324279966786618
laliga,asst1,random forest,0.7147510548523207,0.6800424176250339,0.22857860315454973
laliga,asst1,extra trees,0.7158466947960619,0.6845022172721897,0.22755313091545248
laliga,asst1,hist-GBM,0.7152596343178622,0.679027296173855,0.2299388164060525
laliga,asst1,gradient boosting,0.712421800281294,0.6794751562529376,0.22970329311681184
laliga,asst1,"MLP (32,16)",0.5805465541490858,0.5841453603407553,0.2688312618098969
laliga,asst1,own-rate baseline,,0.6734108052698202,0.2330785665222529
laliga,ga1,logistic,0.7475245306562305,0.7412005036753624,0.3656894899981631
laliga,ga1,logistic L1,0.7478078384663377,0.7412099016351482,0.36566973844561385
laliga,ga1,gaussian NB,0.7352976291758834,0.7248870966426756,1.733389563756932
laliga,ga1,kNN (k=150),0.7437585077420452,0.7328084710998225,0.36917629609420005
laliga,ga1,random forest,0.7486427315523794,0.7426432287077819,0.36529076158713203
laliga,ga1,extra trees,0.7484327321195622,0.7458711514836407,0.36416438949359353
laliga,ga1,hist-GBM,0.7470103085474449,0.7404630402427548,0.3669362547536574
laliga,ga1,gradient boosting,0.74338721569962,0.7389051902029586,0.36902512605555804
