league,market,model,auc_discover,auc_confirm,logloss_confirm
epl,asst1,"MLP (32,16)",0.5559283463986971,0.5899525776646343,0.2805725768317448
epl,asst1,own-rate baseline,,0.6686413417512956,0.23899571677742473
epl,ga1,logistic,0.7527800316333662,0.734594061728356,0.3798021175103476
epl,ga1,logistic L1,0.7528146550964759,0.7346600988761006,0.37976359456880554
epl,ga1,gaussian NB,0.7372862154083464,0.7182375847520754,1.7799324988585268
epl,ga1,kNN (k=150),0.7447635376517315,0.7255350858007453,0.383499253597256
epl,ga1,random forest,0.7548399441718068,0.7290050737661355,0.382300150927232
epl,ga1,extra trees,0.7544906509308941,0.7308168689516576,0.38146354325170684
epl,ga1,hist-GBM,0.751388608856168,0.7292468357640287,0.38195621566964433
epl,ga1,gradient boosting,0.7545398945489211,0.7313527604056055,0.3817858580786972
epl,ga1,"MLP (32,16)",0.7430209864677314,0.7250489203190492,0.3863548394247018
epl,ga1,own-rate baseline,,0.7046750734597231,0.3938341058466695
epl,card1,logistic,0.6226200802407656,0.6159064634452156,0.4146892994022211
epl,card1,logistic L1,0.6226585974407999,0.6160024938689289,0.4146190460984812
epl,card1,gaussian NB,0.6072996726165537,0.6049474396137319,0.6656243377446469
epl,card1,kNN (k=150),0.6108692732607858,0.6087837421422408,0.41539490214388336
epl,card1,random forest,0.6239699678075282,0.6146223387751459,0.41483934320805993
epl,card1,extra trees,0.6194592465704069,0.6200730946926389,0.4132027196139005
epl,card1,hist-GBM,0.6247107224360012,0.6157627498650526,0.414617771366098
epl,card1,gradient boosting,0.6121187227645453,0.600134694955308,0.4187672867908432
epl,card1,"MLP (32,16)",0.5556986133680447,0.5407510349502926,0.44694406516392776
epl,card1,own-rate baseline,,0.6046833227429795,0.4198147269686164
epl,foul2,logistic,0.7115041862161218,0.6789909214235588,0.4882202058225942
epl,foul2,logistic L1,0.7119525197246397,0.6793105757765441,0.4880968842533003
epl,foul2,gaussian NB,0.6759856910445158,0.650790631407204,6.067534124550599
epl,foul2,kNN (k=150),0.6856333477550421,0.6581013375987957,0.4940030172209108
epl,foul2,random forest,0.7073693344048871,0.6716591995540748,0.4901186473885245
epl,foul2,extra trees,0.705142257304129,0.673182443384844,0.49079626307460683
epl,foul2,hist-GBM,0.704776106692457,0.6686526318601212,0.4910691606456295
epl,foul2,gradient boosting,0.7041026138826169,0.675078322681789,0.48965855869813224
epl,foul2,"MLP (32,16)",0.6641062922620337,0.6426347807112216,0.5078714486764117
epl,foul2,own-rate baseline,,0.6609247546419607,0.5044748259166676
