game_id,season,week,top1_id,top1_p,top1_conf,top1_hit,top2_hit,vol_top1_hit,n_scorers,n_scorers_covered,recall_at2,recall_at3
2022_06_DEN_LAC,2022,6,3068267,0.5014408764073626,86.5,1,1,1,2,1,0.5,0.5
2022_07_NO_ARI,2022,7,2468609,0.4140341659283445,44.8,1,1,0,6,6,0.16666666666666666,0.16666666666666666
2022_07_ATL_CIN,2022,7,3116385,0.45106087511546544,63.7,1,1,1,6,6,0.3333333333333333,0.3333333333333333
2022_07_CLE_BAL,2022,7,3128720,0.5210853346590831,77.4,1,1,1,3,2,0.3333333333333333,0.3333333333333333
2022_07_DET_DAL,2022,7,3051392,0.5053895085010593,84.0,1,1,1,2,2,0.5,0.5
2022_07_GB_WAS,2022,7,3128390,0.42813052311608324,57.9,0,1,1,3,1,0.3333333333333333,0.3333333333333333
2022_07_HOU_LV,2022,7,4047365,0.5438931697380489,80.1,1,1,1,4,4,0.25,0.25
2022_07_IND_TEN,2022,7,3043078,0.5784585109745217,100.0,0,0,0,1,1,0.0,0.0
2022_07_KC_SF,2022,7,3126486,0.43040237766555156,48.4,0,0,0,6,5,0.0,0.0
2022_07_NYG_JAX,2022,7,3929630,0.5565443035599578,92.3,0,1,0,4,4,0.25,0.25
2022_07_NYJ_DEN,2022,7,4427366,0.38625890519963335,79.2,1,1,1,2,2,1.0,1.0
2022_07_PIT_MIA,2022,7,3116406,0.520335207872526,70.7,0,0,0,2,2,0.0,0.0
2022_07_SEA_LAC,2022,7,3068267,0.7186719123031442,99.4,1,1,1,4,4,0.5,0.5
2022_07_TB_CAR,2022,7,3115364,0.45242432799720145,88.1,0,0,0,3,3,0.0,0.3333333333333333
2022_07_CHI_NE,2022,7,3925347,0.5314891712007985,66.6,0,1,1,5,5,0.2,0.2
2022_08_BAL_TB,2022,8,3051926,0.444259658480449,34.4,0,1,1,5,5,0.2,0.2
2022_08_ARI_MIN,2022,8,3116593,0.44792829644364573,70.5,1,1,1,7,7,0.14285714285714285,0.14285714285714285
2022_08_CAR_ATL,2022,8,3915416,0.42231706739719743,50.4,1,1,1,5,5,0.4,0.4
2022_08_CHI_DAL,2022,8,3916148,0.5361845884940877,89.2,1,1,0,8,8,0.25,0.375
2022_08_DEN_JAX,2022,8,4239996,0.35706710158512955,49.2,1,1,1,5,5,0.4,0.4
2022_08_GB_BUF,2022,8,3042519,0.3887372786433788,68.1,0,0,0,5,4,0.0,0.0
2022_08_LV_NO,2022,8,4047365,0.7378576133692716,100.0,0,1,1,1,1,1.0,1.0
2022_08_MIA_DET,2022,8,2980453,0.40982247848121833,65.6,1,1,1,5,5,0.4,0.4
2022_08_NE_NYJ,2022,8,3925347,0.4635671080069772,52.2,0,0,0,2,2,0.0,0.0
2022_08_NYG_SEA,2022,8,3929630,0.5673200033396701,55.4,1,1,1,4,4,0.5,0.5
2022_08_PIT_PHI,2022,8,4047646,0.3308761753495234,52.0,1,1,1,4,3,0.25,0.25
2022_08_SF_LA,2022,8,3117251,0.2789840748610153,63.1,1,1,1,5,3,0.4,0.6
2022_08_TEN_HOU,2022,8,3043078,0.6502624077862083,100.0,1,1,1,2,2,0.5,0.5
2022_08_WAS_IND,2022,8,4242335,0.31599451214341223,56.1,0,0,0,3,1,0.0,0.0
