market,kind,model,n_train,n_test,auc,logloss,brier,cal,base,top5,top10,p60,n60,p70,n70,secs
h2,batter,own-rate baseline,86628,30355,0.5627572376964625,0.5175051208157989,0.1677680486888343,0.2135393309413103,0.2152528413770383,0.2775193798449612,0.2968992248062015,,0,,0,
h2,batter,logistic,86628,30355,0.5892545201844483,0.5125751097395486,0.1662247708764102,0.2171313594544269,0.2152528413770383,0.3054263565891473,0.2945736434108527,,0,,0,0.6
h2,batter,logistic L1,86628,30355,0.5893831129318533,0.5125503823739328,0.1662165245570857,0.2171078100128061,0.2152528413770383,0.3054263565891473,0.2953488372093023,,0,,0,3.3
h2,batter,logistic + platt,86628,30355,0.5892545201844483,0.5125757165714317,0.166225095851534,0.2171621305282774,0.2152528413770383,0.3054263565891473,0.2945736434108527,,0,,0,0.8
h2,batter,gaussian NB,86628,30355,0.5721186997600857,0.5175601584467545,0.1678894228821665,0.2274963560729168,0.2152528413770383,0.2542635658914728,0.262015503875969,,0,,0,0.5
h2,batter,random forest,86628,30355,0.5795657200300163,0.5145144100011979,0.1668424910799042,0.2228147904490575,0.2152528413770383,0.2883720930232558,0.2844961240310077,,0,,0,13.5
h2,batter,extra trees,86628,30355,0.584729359713999,0.5137164274877374,0.1665285118160391,0.2200206178402055,0.2152528413770383,0.3023255813953488,0.2914728682170542,,0,,0,3.5
h2,batter,hist-GBM,86628,30355,0.5834443156525276,0.5137440236336712,0.1666041876929895,0.2201197582862644,0.2152528413770383,0.303875968992248,0.2953488372093023,,0,,0,0.9
h2,batter,gradient boosting,86628,30355,0.5782099258644019,0.515185876878557,0.1671513424438867,0.2197531369082697,0.2152528413770383,0.2837209302325581,0.2875968992248062,,3,,0,30.6
h2,batter,kNN (k=200),86628,30355,0.5680175676903163,0.5163365091530268,0.1674009100642398,0.2201932136386098,0.2152528413770383,0.2806201550387597,0.2775193798449612,,0,,0,2.4
h2,batter,MLP (neural net),86628,30355,0.5617013187338836,0.5214889512737961,0.1691644656610297,0.2210184130587147,0.2152528413770383,0.2527131782945736,0.2542635658914728,,0,,0,2.3
h2,batter,STACK (LR+HGB+ET),86628,30355,0.5879080516432585,0.5130811796534508,0.1663709967145867,0.2192242040363107,0.2152528413770383,0.2945736434108527,0.2976744186046511,,0,,0,13.4
tb2,batter,own-rate baseline,86628,30355,0.5515964291235975,0.6464999372389374,0.2270763511971436,0.3464953188108097,0.352561357272278,0.4,0.4007751937984496,,0,,0,
tb2,batter,logistic,86628,30355,0.5754693302751533,0.6411060596551187,0.2246961814258976,0.3543781772107822,0.352561357272278,0.4744186046511628,0.4472868217054263,,0,,0,0.8
tb2,batter,logistic L1,86628,30355,0.5754625883732355,0.6411034954991706,0.2246950744313615,0.3544720271865081,0.352561357272278,0.4806201550387597,0.4457364341085271,,0,,0,16.5
tb2,batter,logistic + platt,86628,30355,0.5754693302751533,0.6411060805287565,0.2246961915441817,0.3543784535872394,0.352561357272278,0.4744186046511628,0.4472868217054263,,0,,0,1.1
tb2,batter,gaussian NB,86628,30355,0.5621466902258578,0.6461743392353718,0.2269582361518164,0.3677230909026471,0.352561357272278,0.4170542635658915,0.4155038759689922,0.470873786407767,206,,0,0.4
tb2,batter,random forest,86628,30355,0.5651664346891374,0.6432188388314746,0.2256593046690708,0.3591427798190046,0.352561357272278,0.4589147286821705,0.4372093023255814,,4,,0,13.1
tb2,batter,extra trees,86628,30355,0.5702552869181818,0.6422022401450361,0.2251767446851729,0.357895587658818,0.352561357272278,0.4496124031007752,0.4441860465116279,,0,,0,3.7
tb2,batter,hist-GBM,86628,30355,0.5701722683361024,0.6421381204892375,0.2251694559986634,0.3554530116195811,0.352561357272278,0.4666666666666667,0.4410852713178294,,0,,0,0.8
tb2,batter,gradient boosting,86628,30355,0.5697209555323263,0.6423699530696727,0.2252802648294875,0.3547426226571796,0.352561357272278,0.4713178294573643,0.4364341085271317,,12,,0,29.8
tb2,batter,kNN (k=200),86628,30355,0.5542041782428403,0.6450667704378041,0.2264827944325481,0.3546395980892768,0.352561357272278,0.4124031007751938,0.4124031007751938,,0,,0,1.9
tb2,batter,MLP (neural net),86628,30355,0.5610659319686183,0.6455495780944465,0.226650846046314,0.3493975719013305,0.352561357272278,0.4124031007751938,0.4015503875968992,,12,,0,4.0
tb2,batter,STACK (LR+HGB+ET),86628,30355,0.5738748039083594,0.641404365227251,0.2248342029106607,0.3556722964574207,0.352561357272278,0.4775193798449612,0.4558139534883721,,0,,0,14.2
hr1,batter,own-rate baseline,86628,30355,0.6013644465504729,0.3523125840249484,0.1011481462290738,0.1147934944021987,0.1158952396639762,0.2310077519379845,0.2116279069767442,,0,,0,
hr1,batter,logistic,86628,30355,0.6177963852820185,0.3500090848991346,0.1007528419614884,0.1189467483185769,0.1158952396639762,0.2217054263565891,0.2108527131782945,,0,,0,0.8
hr1,batter,logistic L1,86628,30355,0.6176450918620303,0.3500114097094533,0.100748307077781,0.1189640464252074,0.1158952396639762,0.2170542635658914,0.2062015503875969,,0,,0,24.7
hr1,batter,logistic + platt,86628,30355,0.6177963852820185,0.3500129023428516,0.1007543373962762,0.1189862283103864,0.1158952396639762,0.2217054263565891,0.2108527131782945,,0,,0,1.0
hr1,batter,gaussian NB,86628,30355,0.6009898724710013,0.353903219187043,0.1016153979279962,0.1259828044466029,0.1158952396639762,0.2077519379844961,0.1883720930232558,,0,,0,0.5
hr1,batter,random forest,86628,30355,0.6077213069285714,0.3518639120015063,0.1011447383437887,0.1248242801647899,0.1158952396639762,0.2077519379844961,0.2046511627906976,,0,,0,13.1
hr1,batter,extra trees,86628,30355,0.6112579442020462,0.3508111243739395,0.1008583099162613,0.1202745191331752,0.1158952396639762,0.2093023255813953,0.2124031007751938,,0,,0,3.5
hr1,batter,hist-GBM,86628,30355,0.6083562965548464,0.3513738086648676,0.1010176199919176,0.1193652357486825,0.1158952396639762,0.1984496124031007,0.2062015503875969,,0,,0,1.1
hr1,batter,gradient boosting,86628,30355,0.608502971945493,0.3533078425772604,0.1019110147522781,0.1228244271057548,0.1158952396639762,0.1860465116279069,0.2023255813953488,,4,,3,29.9
hr1,batter,kNN (k=200),86628,30355,0.5924418895679628,0.3533618948978908,0.1013600074122879,0.1189351013012683,0.1158952396639762,0.2155038759689922,0.2007751937984496,,0,,0,2.4
hr1,batter,MLP (neural net),86628,30355,0.5836250017820721,0.3605261421511339,0.1025788562972672,0.1054687127172499,0.1158952396639762,0.1689922480620155,0.1604651162790697,,0,,0,2.1
hr1,batter,STACK (LR+HGB+ET),86628,30355,0.6153325395265711,0.3509633753864737,0.1009959373786914,0.1208803884585899,0.1158952396639762,0.2201550387596899,0.2178294573643411,,0,,0,14.4
rbi1,batter,own-rate baseline,86628,30355,0.5439222893072287,0.6042243149985621,0.2069453298837008,0.2973897076724662,0.2938560368967221,0.3488372093023256,0.3364341085271318,,0,,0,
rbi1,batter,logistic,86628,30355,0.5602612811074466,0.6012432234520576,0.2057255116084331,0.2963577709828263,0.2938560368967221,0.3767441860465116,0.3736434108527132,,0,,0,0.7
rbi1,batter,logistic L1,86628,30355,0.5602212602288072,0.601250017028556,0.205728890954765,0.2965258433880576,0.2938560368967221,0.3844961240310077,0.3736434108527132,,0,,0,2.0
rbi1,batter,logistic + platt,86628,30355,0.5602612811074466,0.6012426578821843,0.2057253295298637,0.2963860833351102,0.2938560368967221,0.3767441860465116,0.3736434108527132,,0,,0,0.7
rbi1,batter,gaussian NB,86628,30355,0.5517528381246463,0.6041676368206689,0.2070472152964786,0.3067065372057707,0.2938560368967221,0.3565891472868217,0.3480620155038759,,0,,0,0.5
rbi1,batter,random forest,86628,30355,0.5545631123816817,0.6022784521525193,0.206131162699388,0.3006779743989237,0.2938560368967221,0.3813953488372093,0.3682170542635659,,0,,0,14.0
rbi1,batter,extra trees,86628,30355,0.5587817272157665,0.6012370708010062,0.2057101357405908,0.2990238881007427,0.2938560368967221,0.3953488372093023,0.3767441860465116,,0,,0,3.4
rbi1,batter,hist-GBM,86628,30355,0.55998396445192,0.6011303336600902,0.2056819427890724,0.2969186902269478,0.2938560368967221,0.3968992248062015,0.3612403100775194,,0,,0,0.7
rbi1,batter,gradient boosting,86628,30355,0.5567919698828767,0.6017617693358827,0.2059526856928009,0.2984691428300677,0.2938560368967221,0.3891472868217054,0.3674418604651163,,0,,0,30.1
rbi1,batter,kNN (k=200),86628,30355,0.5423615299565586,0.6040395488198048,0.2068585941360566,0.300507165211662,0.2938560368967221,0.386046511627907,0.3713178294573643,,0,,0,2.1
rbi1,batter,MLP (neural net),86628,30355,0.555013436178414,0.6036826780432156,0.2067889523344207,0.3055246533539936,0.2938560368967221,0.3906976744186046,0.3767441860465116,,20,,0,3.4
rbi1,batter,STACK (LR+HGB+ET),86628,30355,0.5616111960133933,0.6009180068712553,0.2055960459656704,0.2977094843524708,0.2938560368967221,0.3984496124031008,0.375968992248062,,0,,0,12.9
r1,batter,own-rate baseline,86628,30355,0.5519142062698639,0.6621016411795262,0.2345789626708818,0.366611018113586,0.3801350683577664,0.462015503875969,0.4457364341085271,,0,,0,
r1,batter,logistic,86628,30355,0.5727117779146497,0.6565159006791407,0.2320576072259761,0.3767512250449361,0.3801350683577664,0.5054263565891473,0.517829457364341,0.5614035087719298,57,,1,0.9
r1,batter,logistic L1,86628,30355,0.5727085584645506,0.6565221083305463,0.2320602557422106,0.3767501260154436,0.3801350683577664,0.5100775193798449,0.5186046511627908,0.559322033898305,59,,1,3.2
r1,batter,logistic + platt,86628,30355,0.5727117779146497,0.6565156158353233,0.2320574237301638,0.3766960810787377,0.3801350683577664,0.5054263565891473,0.517829457364341,0.5614035087719298,57,,1,1.0
r1,batter,gaussian NB,86628,30355,0.5618934445474177,0.6613129636041452,0.2343562615489893,0.3907837754270837,0.3801350683577664,0.427906976744186,0.4325581395348837,0.4486133768352365,613,,0,0.5
r1,batter,random forest,86628,30355,0.5699956720273689,0.6574059292731554,0.2324677256427857,0.3793344563697052,0.3801350683577664,0.5023255813953489,0.4875968992248062,0.546875,64,,0,13.3
r1,batter,extra trees,86628,30355,0.5725004364450521,0.6568426441861348,0.2322091038096125,0.3777564255499928,0.3801350683577664,0.5023255813953489,0.4937984496124031,,9,,0,3.4
r1,batter,hist-GBM,86628,30355,0.5703798367102278,0.6572138727395412,0.2323500413571203,0.3777359867751467,0.3801350683577664,0.5085271317829457,0.5023255813953489,,22,,0,0.9
r1,batter,gradient boosting,86628,30355,0.5693583153265206,0.6577535583972451,0.2326184260136053,0.3757532770444747,0.3801350683577664,0.4697674418604651,0.4914728682170542,0.4793388429752066,121,,7,29.9
r1,batter,kNN (k=200),86628,30355,0.5582319211157901,0.6593028400334476,0.2333618761324328,0.3769039696919782,0.3801350683577664,0.4744186046511628,0.4728682170542636,,5,,0,2.0
r1,batter,MLP (neural net),86628,30355,0.5634016072305514,0.6601612037979739,0.2336678475841629,0.3648726641751063,0.3801350683577664,0.489922480620155,0.4883720930232558,0.5384615384615384,104,,0,2.9
r1,batter,STACK (LR+HGB+ET),86628,30355,0.5722973807991001,0.6568464901421169,0.2321944069433406,0.3777629618905366,0.3801350683577664,0.5162790697674419,0.5054263565891473,0.6101694915254238,59,,0,13.8
sb1,batter,own-rate baseline,86628,30355,0.7161956284884903,0.2230063324899208,0.0586481155274693,0.0671352301335928,0.0652940207544062,0.2201550387596899,0.1961240310077519,,0,,0,
sb1,batter,logistic,86628,30355,0.7155426754653653,0.2237732010489023,0.0586942047118465,0.0669379843589126,0.0652940207544062,0.227906976744186,0.1945736434108527,,0,,0,0.7
sb1,batter,logistic L1,86628,30355,0.7156917455705658,0.223783593818188,0.0586983695081749,0.067170439829262,0.0652940207544062,0.2294573643410852,0.1968992248062015,,0,,0,32.4
sb1,batter,logistic + platt,86628,30355,0.7155426754653653,0.2237744666444709,0.0586948698968328,0.0669945078642474,0.0652940207544062,0.227906976744186,0.1945736434108527,,0,,0,0.9
sb1,batter,gaussian NB,86628,30355,0.6726887367479557,0.2329099844971146,0.0601742253567428,0.074891722316267,0.0652940207544062,0.1875968992248062,0.1821705426356589,,0,,0,0.5
sb1,batter,random forest,86628,30355,0.7158961723783178,0.2236042467624896,0.0587404416905055,0.0732835248757448,0.0652940207544062,0.213953488372093,0.175968992248062,,0,,0,13.2
