size,floor,max_per_game,max_per_team,slates,filled,fill_rate,hits,realised,predicted,leg_hit_rate,ratio
15,0.5,99,99,88,17,0.19318181818181818,0,0.0,0.006482415627546874,0.7019607843137254,0.0
15,0.55,1,1,88,16,0.18181818181818182,0,0.0,0.00630100271152471,0.7125,0.0
15,0.55,2,1,88,16,0.18181818181818182,0,0.0,0.006376335068803715,0.7083333333333334,0.0
15,0.55,2,2,88,16,0.18181818181818182,0,0.0,0.006800432990962824,0.7083333333333334,0.0
15,0.55,99,99,88,16,0.18181818181818182,0,0.0,0.006835292814808014,0.7041666666666667,0.0
20,0.35,1,1,88,16,0.18181818181818182,0,0.0,0.000706845200787574,0.7125,0.0
20,0.35,2,1,88,17,0.19318181818181818,0,0.0,0.0007234124686809274,0.6882352941176471,0.0
20,0.35,2,2,88,17,0.19318181818181818,0,0.0,0.0008093728842556481,0.6911764705882353,0.0
20,0.35,99,99,88,24,0.2727272727272727,0,0.0,0.0005801107297634481,0.6125,0.0
20,0.45,1,1,88,16,0.18181818181818182,0,0.0,0.000706845200787574,0.7125,0.0
20,0.45,2,1,88,16,0.18181818181818182,0,0.0,0.0007681999068785605,0.696875,0.0
20,0.45,2,2,88,17,0.19318181818181818,0,0.0,0.0008093728842556481,0.6911764705882353,0.0
20,0.45,99,99,88,17,0.19318181818181818,0,0.0,0.0008183923983833889,0.6911764705882353,0.0
20,0.5,1,1,88,16,0.18181818181818182,0,0.0,0.000706845200787574,0.7125,0.0
20,0.5,2,1,88,16,0.18181818181818182,0,0.0,0.0007681999068785605,0.696875,0.0
20,0.5,2,2,88,16,0.18181818181818182,0,0.0,0.0008589687026075127,0.7,0.0
20,0.5,99,99,88,16,0.18181818181818182,0,0.0,0.0008679828384993905,0.69375,0.0
20,0.55,1,1,88,16,0.18181818181818182,0,0.0,0.000706845200787574,0.7125,0.0
20,0.55,2,1,88,16,0.18181818181818182,0,0.0,0.0007681999068785605,0.696875,0.0
20,0.55,2,2,88,16,0.18181818181818182,0,0.0,0.0008589687026075127,0.7,0.0
20,0.55,99,99,88,16,0.18181818181818182,0,0.0,0.0008679828384993905,0.69375,0.0
